epoch,start_time,end_time,first_block_time,last_block_time,block_count,tx_count,output,fees,active_stake,avg_transaction_cost
54,1529531091,1529963091,1529531091,1529963071,21597,7000,378625746297.73694,1231.973491,,0.1759962129999999
55,1529963091,1530395091,1529963091,1530395071,21599,6811,344665435374.1643,1219.4165,,0.1790363382763177
56,1530395091,1530827091,1530395091,1530827071,21600,7797,280549304643.13385,1376.493215,,0.1765413896370398
57,1530827091,1531259091,1530827091,1531259071,21601,5639,165341763047.14264,992.146314,,0.1759436627061535
58,1531259091,1531691091,1531259091,1531691071,21600,5990,169157491090.01132,1053.171469,,0.1758216141903171
59,1531691091,1532123091,1531691091,1532123071,21589,8956,179147577715.6909,1589.754497,,0.1775072015408664
60,1532123091,1532555091,1532123091,1532555071,21600,9203,102776891091.67155,1624.169913,,0.1764826592415516
61,1532555091,1532987091,1532555091,1532987071,21598,5729,30824680322.422256,1013.460644,,0.1769000949554896
62,1532987091,1533419091,1532987091,1533419071,21595,5855,29602273476.10885,1030.752179,,0.1760464865926558
63,1533419091,1533851091,1533419091,1533851071,21591,4523,13563515182.003763,803.026127,,0.1775428094185275
64,1533851091,1534283091,1533851091,1534283071,21591,6929,87287839621.57576,1226.5612,,0.1770185019483331
65,1534283091,1534715091,1534283091,1534715071,21588,6920,61924981365.76867,1225.243549,,0.1770583163294797
66,1534715091,1535147091,1534715091,1535147071,21587,5989,43238186813.79489,1095.79712,,0.1829682952078811
67,1535147091,1535579091,1535147091,1535579071,21590,6760,23064099660.681343,1396.27055,,0.206548897928994
68,1535579091,1536011091,1535579091,1536011071,21569,6398,11225329496.551212,1139.070493,,0.1780354005939356
69,1536011091,1536443091,1536011091,1536443071,21591,7001,10539081339.126032,1257.039509,,0.1795514225110698
70,1536443091,1536875091,1536443091,1536875071,21588,7628,15374957100.552029,1362.522295,,0.1786211713424226
71,1536875091,1537307091,1536875091,1537307071,21589,6325,11887664365.472197,1122.62921,,0.1774907841897233
72,1537307091,1537739091,1537307091,1537739071,21590,8094,8501917151.660894,1459.549954,,0.1803249263652088
73,1537739091,1538171091,1537739091,1538171071,21587,7944,11209871977.649212,1416.312395,,0.1782870587865055
74,1538171091,1538603091,1538171091,1538603071,21558,7058,9023714437.03368,1255.61163,,0.1778990691413998
75,1538603091,1539035091,1538603091,1539035071,21590,6017,15732724629.642033,1068.203894,,0.1775309778959614
76,1539035091,1539467091,1539035091,1539467071,21594,5741,20086931313.565285,1024.898038,,0.1785225636648667
77,1539467091,1539899091,1539467091,1539899071,21585,7006,26228290124.15073,1273.877897,,0.1818267052526406
78,1539899091,1540331091,1539899091,1540331071,21582,5835,12093791392.78338,1036.953636,,0.1777127053984575
79,1540331091,1540763091,1540331091,1540763071,21589,5960,9890668018.4477,1053.825707,,0.1768163937919463
80,1540763091,1541195091,1540763091,1541195071,21587,6092,11874241442.732847,1101.940736,,0.1808832462245568
81,1541195091,1541627091,1541195091,1541627071,21586,7043,14657399159.86274,1249.718806,,0.1774412616782621
82,1541627091,1542059091,1541627091,1542059071,21588,6088,14878676076.241344,1086.257992,,0.1784260827858081
83,1542059091,1542491091,1542059091,1542491071,21593,6934,38865199703.31699,1232.294405,,0.1777176817132968
84,1542491091,1542923091,1542491091,1542923071,20686,3291,16021217795.147484,576.49136,,0.1751720935885748
85,1542923091,1543355091,1542923091,1543355071,21584,5578,13598095083.089111,989.428267,,0.1773804709573323
86,1543355091,1543787091,1543355091,1543787071,21588,6809,6154360145.887606,1208.108005,,0.1774281105889264
87,1543787091,1544219091,1543787091,1544219071,21586,8452,5161822930.998989,1857.668838,,0.2197904446284903
88,1544219091,1544651091,1544219091,1544651071,21597,5902,4191326755.432956,1039.08286,,0.1760560589630633
89,1544651091,1545083091,1544651091,1545083071,21595,6890,316949535016.62634,1283.338169,,0.1862609824383164
90,1545083091,1545515091,1545083091,1545515071,21601,9410,141542529015.6365,1704.438739,,0.1811305780021254
91,1545515091,1545947091,1545515091,1545947071,21601,8495,18119740707.340336,1546.873504,,0.1820922311948204
92,1545947091,1546379091,1545947091,1546379071,21601,7121,8168216978.963418,1273.424654,,0.1788266611430978
93,1546379091,1546811091,1546379091,1546811071,21601,7948,4874764968.196296,1429.284447,,0.1798294472823352
94,1546811091,1547243091,1546811091,1547243071,21600,9713,8181453261.184757,1757.079307,,0.1808997536291568
95,1547243091,1547675091,1547243091,1547675071,21601,7059,7101488987.110168,1574.8168,,0.2230934693299334
96,1547675091,1548107091,1547675091,1548107071,21600,8086,10238086312.427212,1472.075967,,0.1820524322285431
97,1548107091,1548539091,1548107091,1548539071,21599,6671,7047911449.860645,1191.801438,,0.1786540905411482
98,1548539091,1548971091,1548539091,1548971071,21601,8221,17585023936.052204,1484.11791,,0.1805276620849045
99,1548971091,1549403091,1548971091,1549403071,21600,6045,9749530882.152996,1092.692917,,0.1807597877584781
100,1549403091,1549835091,1549403091,1549835071,21601,6716,4774232447.280576,1219.405092,,0.1815671667659321
101,1549835091,1550267091,1549835091,1550267071,21599,6836,4792168592.136028,1234.891071,,0.1806452707723815
102,1550267091,1550699091,1550267091,1550699071,21601,8097,4273556766.058963,1469.409862,,0.1814758382116833
103,1550699091,1551131091,1550699091,1551131071,21601,7384,4562711856.728056,1343.947986,,0.1820081237811484
104,1551131091,1551563091,1551131091,1551563071,21600,6930,4367031747.479523,1350.682619,,0.1949036968253968
105,1551563091,1551995091,1551563091,1551995071,21600,6806,5326926737.176316,1427.594658,,0.2097553126652953
106,1551995091,1552427091,1551995091,1552427071,21601,10093,12045353924.844368,2038.137135,,0.2019357113841276
107,1552427091,1552859091,1552427091,1552859071,21601,10437,10653903555.84894,2051.173522,,0.1965290334387276
108,1552859091,1553291091,1552859091,1553291071,21594,12290,86196356643.6146,2404.56861,,0.1956524499593165
109,1553291091,1553723091,1553291091,1553723071,21601,14982,46408085419.854095,3035.492317,,0.2026092856093979
110,1553723091,1554155091,1553723091,1554155071,21599,16950,15179346887.503193,3552.148208,,0.209566265958702
111,1554155091,1554587091,1554155091,1554587071,21601,21086,72874279576.5288,4134.303005,,0.1960686239685099
112,1554587091,1555019091,1554587091,1555019071,21598,13926,77980298859.14368,2728.498131,,0.195928344894442
113,1555019091,1555451091,1555019091,1555451071,21601,10929,16720833408.415209,2176.364591,,0.1991366630981791
114,1555451091,1555883091,1555451091,1555883071,21601,12468,11392386930.695972,2464.271497,,0.1976476978665383
115,1555883091,1556315091,1555883091,1556315071,21599,14046,9839129040.557615,2690.631892,,0.19155858550477
116,1556315091,1556747091,1556315091,1556747071,21601,10256,7720442469.588584,1924.204057,,0.1876174002535101
117,1556747091,1557179091,1556747091,1557179071,21597,12441,7888595072.605051,2372.870247,,0.1907298647214854
118,1557179091,1557611091,1557179091,1557611071,21601,13306,4680985731.703528,2524.978223,,0.1897623796031865
119,1557611091,1558043091,1557611091,1558043071,21600,19884,8886853050.38317,3857.70499,,0.1940105104606719
120,1558043091,1558475091,1558043091,1558475071,21597,17302,11733772311.174255,3363.288411,,0.1943872622240203
121,1558475091,1558907091,1558475091,1558907071,21601,16811,12768996156.914791,3231.919658,,0.1922502919516983
122,1558907091,1559339091,1558907091,1559339071,21600,19809,9675667612.264929,3804.470869,,0.1920576944318239
123,1559339091,1559771091,1559339091,1559771071,21600,18347,8850393846.891182,3499.911417,,0.1907620546683381
124,1559771091,1560203091,1559771091,1560203071,21590,15579,6530242276.361343,2929.742585,,0.1880571657359265
125,1560203091,1560635091,1560203091,1560635071,21600,15512,10307981755.389992,3086.761426,,0.1989918402527075
126,1560635091,1561067091,1560635091,1561067071,21601,14740,9842221536.15242,2901.038828,,0.1968140317503392
127,1561067091,1561499091,1561067091,1561499071,21601,17417,11492010941.355854,3358.415211,,0.1928239772061778
128,1561499091,1561931091,1561499091,1561931071,21601,17844,14375263556.715565,3428.606435,,0.1921433778861242
129,1561931091,1562363091,1561931091,1562363071,21601,14959,24909084896.59575,2874.181504,,0.1921372754863293
130,1562363091,1562795091,1562363091,1562795071,21599,15795,24722562845.10185,2964.060631,,0.1876581596074707
131,1562795091,1563227091,1562795091,1563227071,21601,14540,16949547240.419764,2734.022347,,0.1880345493122421
132,1563227091,1563659091,1563227091,1563659071,21601,13579,11064487734.70472,2539.011346,,0.1869807309816628
133,1563659091,1564091091,1563659091,1564091071,21600,10826,9644902428.680872,1995.520934,,0.1843267073711435
134,1564091091,1564523091,1564091091,1564523071,21599,9036,5119520431.495057,1671.625688,,0.1849962027445772
135,1564523091,1564955091,1564523091,1564955071,21601,10740,5395179145.248183,1995.869928,,0.1858351888268156
136,1564955091,1565387091,1564955091,1565387071,21601,11696,6724972829.199056,2256.961435,,0.1929686589432284
137,1565387091,1565819091,1565387091,1565819071,21601,9049,3782280398.705571,1703.631861,,0.1882674175046966
138,1565819091,1566251091,1565819091,1566251071,21601,9484,4288383473.248657,1773.448065,,0.18699368040911
139,1566251091,1566683091,1566251091,1566683071,21601,8851,4437365896.237127,1649.443606,,0.1863567513275336
140,1566683091,1567115091,1566683091,1567115071,21601,9655,5855240090.26849,1800.47856,,0.1864814665976178
141,1567115091,1567547091,1567115091,1567547071,21599,8621,5351079667.554703,1649.609388,,0.1913478004871824
142,1567547091,1567979091,1567547091,1567979071,21601,8707,7094480946.862069,1656.110928,,0.1902045397955667
143,1567979091,1568411091,1567979091,1568411071,21600,7917,9943158844.31974,1529.157114,,0.193148555513452
144,1568411091,1568843091,1568411091,1568843071,21601,8640,4066854291.652619,1703.006417,,0.1971072241898148
145,1568843091,1569275091,1568843091,1569275071,21601,7573,8803502038.104876,1442.660636,,0.1905005461507989
146,1569275091,1569707091,1569275091,1569707071,21600,9642,6036815354.954091,1820.347324,,0.1887935411740303
147,1569707091,1570139091,1569707091,1570139071,21601,7433,4243652529.963318,1392.481746,,0.187337783667429
148,1570139091,1570571091,1570139091,1570571071,21601,9387,2748568451.978892,1715.216106,,0.1827224998402045
149,1570571091,1571003091,1570571091,1571003071,21599,6597,4407485864.773722,1240.080758,,0.1879764677883886
150,1571003091,1571435091,1571003091,1571435071,21601,7075,3404041769.798558,1360.792917,,0.1923382214840989
151,1571435091,1571867091,1571435091,1571867071,21601,7571,2654692166.740613,1421.658239,,0.1877768113855501
152,1571867091,1572299091,1571867091,1572299071,21601,11061,5629131278.331004,2095.302665,,0.1894315762589278
